Input	Output
cup : e m r r m ; mug : a r r y ; SEPARATE double mug	cup : e m r r m ; mug : a r r y a r r y ;
jug : y o r r o ; flask : b v v b ; beaker : p e ; SEPARATE unmix beaker	jug : y o r r o ; flask : b v v b ; beaker : p ; beaker : e ;
canister : o ; jug : d e e d ; SEPARATE double jug	canister : o ; jug : d e e d d e e d ;
thermos : r b b ; thermos : d g g ; urn : r r ; urn : p ; SEPARATE shift first urn after first thermos	thermos : r b b ; urn : r r ; thermos : d g g ; urn : p ;
cup : r r ; urn : y ; flagon : v ; bottle : a a d p ; SEPARATE destroy urn	cup : r r ; flagon : v ; bottle : a a d p ;
thermos : g m g ; mug : f p p o f o ; vessel : o y y o ; flask : o m h ; SEPARATE destroy mug	thermos : g m g ; vessel : o y y o ; flask : o m h ;
cup : o y d d ; burette : e e g a a ; vessel : g o ; cup : m ; SEPARATE create jug	cup : o y d d ; burette : e e g a a ; vessel : g o ; cup : m ; jug : _ ;
jug : e p p ; pitcher : p ; bottle : g a p a ; SEPARATE unmix jug	jug : e ; jug : p p ; pitcher : p ; bottle : g a p a ;
glass : r f d d ; bottle : v h v b ; canister : a ; SEPARATE create vessel	glass : r f d d ; bottle : v h v b ; canister : a ; vessel : _ ;
decanter : f v g f ; burette : p o p ; urn : v ; thermos : r r y m ; SEPARATE create flask	decanter : f v g f ; burette : p o p ; urn : v ; thermos : r r y m ; flask : _ ;
vessel : c ; jug : p e ; burette : y o o r ; burette : h h a a ; SEPARATE double jug	vessel : c ; jug : p e p e ; burette : y o o r ; burette : h h a a ;
thermos : v v m ; bottle : r r ; thermos : h h d ; jar : m ; SEPARATE destroy bottle	thermos : v v m ; thermos : h h d ; jar : m ;
vessel : d d ; jug : d o d ; mug : c h e e h c ; jug : f f ; SEPARATE destroy last jug	vessel : d d ; jug : d o d ; mug : c h e e h c ;
jug : d ; flagon : a b ; burette : r r ; SEPARATE filter burette	jug : d ; flagon : a b ; burette : r r ;
jug : v v c m c ; jar : b ; bottle : y y ; decanter : o ; SEPARATE double decanter	jug : v v c m c ; jar : b ; bottle : y y ; decanter : o o ;
urn : v ; mug : b r b r ; decanter : f f ; canister : c a c ; SEPARATE create glass	urn : v ; mug : b r b r ; decanter : f f ; canister : c a c ; glass : _ ;
glass : y m y v ; glass : p p r ; flagon : d g ; SEPARATE double flagon	glass : y m y v ; glass : p p r ; flagon : d g d g ;
beaker : o h o ; canister : p p ; SEPARATE empty canister	beaker : o h o ; canister : _ ;
pitcher : y y m ; canister : m v p m p ; urn : y r r y ; SEPARATE double pitcher	pitcher : y y m y y m ; canister : m v p m p ; urn : y r r y ;
beaker : y y v ; cup : h c ; SEPARATE double beaker	beaker : y y v y y v ; cup : h c ;
thermos : c ; canister : e v a ; cup : c c v p ; SEPARATE create beaker	thermos : c ; canister : e v a ; cup : c c v p ; beaker : _ ;
urn : f a f ; decanter : v v m b ; SEPARATE empty urn	urn : _ ; decanter : v v m b ;
flagon : a v b ; cup : p p g c ; canister : c h v v h ; urn : h r ; SEPARATE destroy canister	flagon : a v b ; cup : p p g c ; urn : h r ;
jar : o d b b ; vessel : m m y ; SEPARATE shift vessel before jar	vessel : m m y ; jar : o d b b ;
jar : f b b ; beaker : h h ; burette : r r b ; SEPARATE empty jar	jar : _ ; beaker : h h ; burette : r r b ;
flagon : c ; decanter : g ; SEPARATE destroy flagon	decanter : g ;
flagon : p p r r ; cup : f p p ; SEPARATE shift cup before flagon	cup : f p p ; flagon : p p r r ;
vessel : m ; flask : a a ; SEPARATE double flask	vessel : m ; flask : a a a a ;
