Input	Output
vessel : r g p p r g ; jar : c c ; cup : d e e d ; flagon : g r ; SEPARATE create vessel	vessel : r g p p r g ; jar : c c ; cup : d e e d ; flagon : g r ; vessel : _ ;
mug : g g ; burette : r r ; cup : c f f c r r ; SEPARATE destroy cup	mug : g g ; burette : r r ;
cup : d d m ; beaker : m r r d ; jar : d e e ; SEPARATE empty cup	cup : _ ; beaker : m r r d ; jar : d e e ;
vessel : r ; burette : v a y v y ; cup : v v r r o o ; SEPARATE destroy vessel	burette : v a y v y ; cup : v v r r o o ;
bottle : g o m ; decanter : d ; vessel : a ; SEPARATE add four yellow to bottle	bottle : g o m y y y y ; decanter : d ; vessel : a ;
burette : c ; cup : d v d v ; pitcher : p p v v ; SEPARATE filter burette	burette : c ; cup : d v d v ; pitcher : p p v v ;
decanter : o o ; urn : d e e d ; SEPARATE shift urn after decanter	decanter : o o ; urn : d e e d ;
burette : e f ; cup : o ; urn : v v g ; SEPARATE destroy urn	burette : e f ; cup : o ;
vessel : r c r ; flagon : d c p p c ; SEPARATE add four blue to vessel	vessel : r c r b b b b ; flagon : d c p p c ;
canister : r r o ; vessel : g g a e a e ; urn : a ; canister : y m m a ; SEPARATE filter first canister	canister : r r o ; vessel : g g a e a e ; urn : a ; canister : y m m a ;
cup : p p ; mug : g p g ; jar : g p m m p ; flagon : m c m e ; SEPARATE unmix cup	cup : p p ; mug : g p g ; jar : g p m m p ; flagon : m c m e ;
bottle : y m y m ; vessel : a r a c c ; flagon : p ; SEPARATE double bottle	bottle : y m y m y m y m ; vessel : a r a c c ; flagon : p ;
canister : a a ; decanter : m g g e m e ; beaker : h ; vessel : g c c ; SEPARATE create burette	canister : a a ; decanter : m g g e m e ; beaker : h ; vessel : g c c ; burette : _ ;
glass : v r v r ; jug : g b g c ; bottle : m ; SEPARATE create jug	glass : v r v r ; jug : g b g c ; bottle : m ; jug : _ ;
jug : o o ; beaker : p o b p ; SEPARATE unmix beaker	jug : o o ; beaker : p p ; beaker : o ; beaker : b ;
jar : p g g p ; urn : m h m ; flask : d ; SEPARATE double urn	jar : p g g p ; urn : m h m m h m ; flask : d ;
decanter : p p ; urn : o o ; SEPARATE double decanter	decanter : p p p p ; urn : o o ;
glass : c a c a h ; vessel : h y y ; pitcher : m m r ; SEPARATE shift glass after vessel	vessel : h y y ; glass : c a c a h ; pitcher : m m r ;
jar : o c o v ; glass : e a a r e ; SEPARATE empty glass	jar : o c o v ; glass : _ ;
decanter : e r e ; burette : e e a ; bottle : r b r b ; SEPARATE add two emberiae to bottle	decanter : e r e ; burette : e e a ; bottle : r b r b e e ;
mug : h ; urn : p y b ; SEPARATE create canister	mug : h ; urn : p y b ; canister : _ ;
canister : y y ; burette : p p v ; urn : y a a ; burette : g c c p g p ; SEPARATE destroy canister	burette : p p v ; urn : y a a ; burette : g c c p g p ;
