Input	Output
burette : y g ; jar : y y m h ; SEPARATE double jar	burette : y g ; jar : y y m h y y m h ;
mug : p d d ; thermos : y o d o ; SEPARATE double thermos	mug : p d d ; thermos : y o d o y o d o ;
jar : d c b b d c ; decanter : y o o ; urn : g g ; SEPARATE empty jar	jar : _ ; decanter : y o o ; urn : g g ;
flagon : e y ; urn : f p p r f ; SEPARATE double urn	flagon : e y ; urn : f p p r f f p p r f ;
jug : f d d g ; glass : d ; jar : v o ; SEPARATE unmix jar	jug : f d d g ; glass : d ; jar : v ; jar : o ;
mug : f f y g g ; cup : c e e a c ; glass : e e ; SEPARATE empty mug	mug : _ ; cup : c e e a c ; glass : e e ;
decanter : m c ; jar : m ; canister : v r r ; SEPARATE add two aqua to jar	decanter : m c ; jar : m a a ; canister : v r r ;
jar : e y y e ; canister : e v v ; SEPARATE filter canister	jar : e y y e ; canister : e v v ;
pitcher : r ; pitcher : e e ; beaker : f f o ; SEPARATE create canister	pitcher : r ; pitcher : e e ; beaker : f f o ; canister : _ ;
cup : b e e m m ; mug : f b ; SEPARATE add one aqua to cup	cup : b e e m m a ; mug : f b ;
beaker : b b ; bottle : f f y ; decanter : b c f ; glass : v f f m ; SEPARATE add four magenta to decanter	beaker : b b ; bottle : f f y ; decanter : b c f m m m m ; glass : v f f m ;
jar : y y ; urn : c g g ; canister : v m m ; SEPARATE filter urn	jar : y y ; urn : c g g ; canister : v m m ;
flask : g ; bottle : c m ; SEPARATE add six harlequin to bottle	flask : g ; bottle : c m h h h h h h ;
canister : g b b g c ; burette : v y y d d ; flagon : y h a h ; SEPARATE add one blue to canister	canister : g b b g c b ; burette : v y y d d ; flagon : y h a h ;
decanter : m e e ; glass : r g g m ; urn : b b ; bottle : f ; SEPARATE shift urn before decanter	urn : b b ; decanter : m e e ; glass : r g g m ; bottle : f ;
pitcher : r r e c ; beaker : p ; jar : c ; jar : c c ; SEPARATE empty last jar	pitcher : r r e c ; beaker : p ; jar : c ; jar : _ ;
jar : g f c ; bottle : g d d o ; SEPARATE unmix jar	jar : g ; jar : f ; jar : c ; bottle : g d d o ;
bottle : b b r v ; bottle : b c o ; burette : o o ; glass : g g ; SEPARATE add one orange to first bottle	bottle : b b r v o ; bottle : b c o ; burette : o o ; glass : g g ;
beaker : o m ; vessel : g ; mug : b m m b d ; jar : g a ; SEPARATE unmix jar	beaker : o m ; vessel : g ; mug : b m m b d ; jar : g ; jar : a ;
thermos : g a g ; vessel : m a m c a c ; SEPARATE shift vessel after thermos	thermos : g a g ; vessel : m a m c a c ;
cup : f a y y a f ; glass : d v d m ; decanter : f c f r c ; vessel : e e b b g g ; SEPARATE double glass	cup : f a y y a f ; glass : d v d m d v d m ; decanter : f c f r c ; vessel : e e b b g g ;
mug : b e e ; flagon : m ; SEPARATE filter mug	mug : b e e ; flagon : m ;
vessel : g ; burette : h ; beaker : h ; mug : v d v o ; SEPARATE double beaker	vessel : g ; burette : h ; beaker : h h ; mug : v d v o ;
glass : a m a ; pitcher : y ; burette : v v g ; pitcher : c v c v y ; SEPARATE add four green to burette	glass : a m a ; pitcher : y ; burette : v v g g g g g ; pitcher : c v c v y ;
flask : f o f o ; mug : v ; SEPARATE create decanter	flask : f o f o ; mug : v ; decanter : _ ;
burette : o v v ; burette : b b o ; SEPARATE double last burette	burette : o v v ; burette : b b o b b o ;
canister : p c p v v ; thermos : r r ; pitcher : m m a ; SEPARATE create bottle	canister : p c p v v ; thermos : r r ; pitcher : m m a ; bottle : _ ;
decanter : g f v g f ; mug : o m r m ; pitcher : a a ; jar : a a o o ; SEPARATE filter jar	decanter : g f v g f ; mug : o m r m ; pitcher : a a ; jar : a a o o ;
pitcher : r c f r ; pitcher : m d d p ; pitcher : v r r o ; flask : c a ; SEPARATE add one harlequin to flask	pitcher : r c f r ; pitcher : m d d p ; pitcher : v r r o ; flask : c a h ;
mug : p p a a f f ; glass : c c ; jug : a c c ; flagon : v v c ; SEPARATE shift flagon after jug	mug : p p a a f f ; glass : c c ; jug : a c c ; flagon : v v c ;
thermos : a ; glass : e d d o o ; mug : a a ; SEPARATE shift glass before thermos	glass : e d d o o ; thermos : a ; mug : a a ;
flagon : r g g ; pitcher : e e ; urn : r c r c ; flask : p m ; SEPARATE filter urn	flagon : r g g ; pitcher : e e ; urn : r r c c ; flask : p m ;
flagon : f ; jar : y r p p r ; SEPARATE double jar	flagon : f ; jar : y r p p r y r p p r ;
jug : h b r ; beaker : b b ; burette : y ; SEPARATE double jug	jug : h b r h b r ; beaker : b b ; burette : y ;
flagon : b b h y h ; thermos : y a a y ; beaker : m ; SEPARATE add three red to beaker	flagon : b b h y h ; thermos : y a a y ; beaker : m r r r ;
decanter : b ; decanter : d v f ; bottle : e e ; SEPARATE create urn	decanter : b ; decanter : d v f ; bottle : e e ; urn : _ ;
glass : v f f v ; flagon : d o h h ; SEPARATE shift flagon before glass	flagon : d o h h ; glass : v f f v ;
canister : p b d b p ; flask : p p ; jar : e ; jar : r v r ; SEPARATE empty first jar	canister : p b d b p ; flask : p p ; jar : _ ; jar : r v r ;
thermos : y y g g ; beaker : d r ; SEPARATE empty beaker	thermos : y y g g ; beaker : _ ;
beaker : e g ; burette : y y ; bottle : e m v v m e ; pitcher : c f ; SEPARATE double bottle	beaker : e g ; burette : y y ; bottle : e m v v m e e m v v m e ; pitcher : c f ;
flagon : m ; pitcher : v b b ; jar : r r ; vessel : h h ; SEPARATE create bottle	flagon : m ; pitcher : v b b ; jar : r r ; vessel : h h ; bottle : _ ;
glass : o v c o c ; vessel : p ; SEPARATE shift vessel after glass	glass : o v c o c ; vessel : p ;
vessel : r r g ; bottle : e e o f ; burette : o a ; SEPARATE empty vessel	vessel : _ ; bottle : e e o f ; burette : o a ;
jug : m p p y ; pitcher : y y ; bottle : c v g g c ; SEPARATE empty pitcher	jug : m p p y ; pitcher : _ ; bottle : c v g g c ;
flagon : c f y ; pitcher : v y v ; canister : a y y ; SEPARATE unmix canister	flagon : c f y ; pitcher : v y v ; canister : a ; canister : y y ;
