Input	Output
burette : m m f b f ; jug : r r m m ; SEPARATE destroy jug	burette : m m f b f ;
cup : c o o c ; canister : f m e f ; SEPARATE destroy cup	canister : f m e f ;
jug : p ; jar : o o d y d ; SEPARATE destroy jug	jar : o o d y d ;
beaker : c c r v r v ; burette : e ; SEPARATE destroy beaker	burette : e ;
thermos : o o ; cup : g r r ; SEPARATE destroy cup	thermos : o o ;
beaker : d g a g a d ; thermos : o f f ; SEPARATE destroy beaker	thermos : o f f ;
urn : o o a ; vessel : r ; flask : o o ; SEPARATE destroy vessel	urn : o o a ; flask : o o ;
burette : p p ; cup : c ; SEPARATE destroy cup	burette : p p ;
flask : e ; beaker : p f ; beaker : g ; SEPARATE destroy last beaker	flask : e ; beaker : p f ;
canister : e m y e ; vessel : b ; SEPARATE destroy vessel	canister : e m y e ;
decanter : b o b o ; canister : e ; SEPARATE destroy canister	decanter : b o b o ;
mug : o ; pitcher : r m r ; bottle : g a ; SEPARATE destroy bottle	mug : o ; pitcher : r m r ;
jug : b p a a ; flask : o o ; canister : h d ; SEPARATE destroy jug	flask : o o ; canister : h d ;
flagon : e f h e f ; jug : c y y ; decanter : c ; SEPARATE destroy jug	flagon : e f h e f ; decanter : c ;
thermos : c ; thermos : m ; SEPARATE destroy first thermos	thermos : m ;
bottle : g f o ; mug : o h o v v ; thermos : y y ; SEPARATE destroy bottle	mug : o h o v v ; thermos : y y ;
vessel : d m m y y ; bottle : c ; SEPARATE destroy vessel	bottle : c ;
canister : c b a c a ; pitcher : r r ; jar : r r ; SEPARATE destroy pitcher	canister : c b a c a ; jar : r r ;
canister : c c f r ; vessel : e c a ; SEPARATE destroy canister	vessel : e c a ;
jar : b b ; bottle : c ; cup : m ; urn : v v ; SEPARATE destroy cup	jar : b b ; bottle : c ; urn : v v ;
glass : c o o c ; jug : o e ; pitcher : b ; SEPARATE destroy glass	jug : o e ; pitcher : b ;
glass : a a e ; flagon : e e h d d h ; SEPARATE destroy flagon	glass : a a e ;
vessel : d p ; cup : f d m d ; SEPARATE destroy cup	vessel : d p ;
jug : f c o f ; mug : o o ; flask : v a m v ; SEPARATE destroy flask	jug : f c o f ; mug : o o ;
bottle : b ; beaker : c e c a a ; cup : v v ; SEPARATE destroy bottle	beaker : c e c a a ; cup : v v ;
cup : r ; thermos : c ; flask : g e f ; SEPARATE destroy cup	thermos : c ; flask : g e f ;
glass : m ; decanter : r r ; flask : o o y ; SEPARATE destroy glass	decanter : r r ; flask : o o y ;
cup : f e r e ; canister : h c ; SEPARATE destroy cup	canister : h c ;
burette : m m c ; glass : c h ; decanter : f d d ; SEPARATE destroy decanter	burette : m m c ; glass : c h ;
decanter : y y ; flagon : v ; SEPARATE destroy decanter	flagon : v ;
decanter : g b ; glass : y y ; glass : h f f a ; SEPARATE destroy decanter	glass : y y ; glass : h f f a ;
bottle : d ; urn : v v m ; urn : h h c c ; SEPARATE destroy bottle	urn : v v m ; urn : h h c c ;
mug : b r ; beaker : b b ; urn : m v m v ; jug : e ; SEPARATE destroy mug	beaker : b b ; urn : m v m v ; jug : e ;
flask : f f ; pitcher : h y o ; SEPARATE destroy pitcher	flask : f f ;
pitcher : g o o b ; cup : d m m ; SEPARATE destroy cup	pitcher : g o o b ;
