Input	Output
pitcher : c d c m ; canister : d p d p o o ; jug : a r a ; pitcher : y f a a ; SEPARATE unmix first pitcher	pitcher : c c ; pitcher : d ; pitcher : m ; canister : d p d p o o ; jug : a r a ; pitcher : y f a a ;
thermos : h y h c ; beaker : p h p h ; SEPARATE add six orange to beaker	thermos : h y h c ; beaker : p h p h o o o o o o ;
jar : d m m p ; mug : m h h ; decanter : y o o ; SEPARATE double jar	jar : d m m p d m m p ; mug : m h h ; decanter : y o o ;
canister : d d g ; jar : b b ; decanter : a b a ; mug : p b m m ; SEPARATE create pitcher	canister : d d g ; jar : b b ; decanter : a b a ; mug : p b m m ; pitcher : _ ;
cup : d ; urn : g d g d ; SEPARATE unmix urn	cup : d ; urn : g g ; urn : d d ;
decanter : f ; bottle : b e b e ; beaker : f f ; jug : m e m e ; SEPARATE double beaker	decanter : f ; bottle : b e b e ; beaker : f f f f ; jug : m e m e ;
flagon : a a ; thermos : g g b m ; glass : h a m h m ; flagon : o g h h ; SEPARATE unmix thermos	flagon : a a ; thermos : g g ; thermos : b ; thermos : m ; glass : h a m h m ; flagon : o g h h ;
urn : c r e ; mug : c o c o ; SEPARATE create cup	urn : c r e ; mug : c o c o ; cup : _ ;
flask : a a ; burette : o c v ; vessel : a r y y a ; glass : p p ; SEPARATE unmix vessel	flask : a a ; burette : o c v ; vessel : a a ; vessel : r ; vessel : y y ; glass : p p ;
jar : o o ; flagon : m p v m p v ; mug : e e ; SEPARATE shift flagon after jar	jar : o o ; flagon : m p v m p v ; mug : e e ;
jar : o o ; decanter : p ; glass : h p b b p ; jar : b b e e o o ; SEPARATE double decanter	jar : o o ; decanter : p p ; glass : h p b b p ; jar : b b e e o o ;
mug : c c b ; jug : f g ; vessel : d d ; thermos : v g g v e ; SEPARATE add four red to mug	mug : c c b r r r r ; jug : f g ; vessel : d d ; thermos : v g g v e ;
pitcher : b ; pitcher : a ; flagon : b p h p ; SEPARATE filter last pitcher	pitcher : b ; pitcher : a ; flagon : b p h p ;
glass : m m ; cup : v c v c ; SEPARATE create beaker	glass : m m ; cup : v c v c ; beaker : _ ;
flask : o m ; flask : h h o d ; cup : r g g ; SEPARATE add five aqua to last flask	flask : o m ; flask : h h o d a a a a a ; cup : r g g ;
bottle : p ; urn : b ; beaker : h p p ; mug : y a y c c ; SEPARATE destroy bottle	urn : b ; beaker : h p p ; mug : y a y c c ;
