Input	Output
flagon : a a ; thermos : g g b m ; glass : h a m h m ; flagon : o g h h ; SEPARATE unmix thermos	flagon : a a ; thermos : g g ; thermos : b ; thermos : m ; glass : h a m h m ; flagon : o g h h ;
flask : a a ; burette : o c v ; vessel : a r y y a ; glass : p p ; SEPARATE unmix vessel	flask : a a ; burette : o c v ; vessel : a a ; vessel : r ; vessel : y y ; glass : p p ;
mug : e e a ; decanter : b f ; SEPARATE add two magenta to decanter	mug : e e a ; decanter : b f m m ;
decanter : m m ; glass : r r o ; burette : c ; cup : b ; SEPARATE filter cup	decanter : m m ; glass : r r o ; burette : c ; cup : b ;
canister : m ; jug : f ; burette : h ; SEPARATE empty burette	canister : m ; jug : f ; burette : _ ;
bottle : f ; jar : r r f ; bottle : b ; jar : g g ; SEPARATE filter last jar	bottle : f ; jar : r r f ; bottle : b ; jar : g g ;
pitcher : a a h o o ; thermos : c c r ; mug : y ; SEPARATE unmix mug	pitcher : a a h o o ; thermos : c c r ; mug : y ;
urn : f f e e ; glass : d a c c ; pitcher : o ; SEPARATE filter pitcher	urn : f f e e ; glass : d a c c ; pitcher : o ;
beaker : g e e v g ; beaker : y y ; SEPARATE empty second beaker	beaker : g e e v g ; beaker : _ ;
burette : p p d e d e ; flagon : o p p ; glass : h e a h a e ; canister : b c p b p ; SEPARATE filter canister	burette : p p d e d e ; flagon : o p p ; glass : h e a h a e ; canister : b b c p p ;
burette : b v o ; flask : m m r ; SEPARATE filter burette	burette : b v o ; flask : m m r ;
jug : r ; thermos : m v e e v m ; SEPARATE shift thermos after jug	jug : r ; thermos : m v e e v m ;
decanter : r b h h ; thermos : y r r ; SEPARATE add three red to decanter	decanter : r b h h r r r ; thermos : y r r ;
beaker : v v ; glass : f p f p ; SEPARATE empty beaker	beaker : _ ; glass : f p f p ;
glass : p m o p ; mug : e a f a f ; SEPARATE destroy mug	glass : p m o p ;
flask : r ; flask : o h o ; bottle : c c ; SEPARATE empty bottle	flask : r ; flask : o h o ; bottle : _ ;
bottle : y ; glass : o o m ; SEPARATE add three harlequin to bottle	bottle : y h h h ; glass : o o m ;
thermos : g g f a ; flask : v f m ; flask : g c b b ; SEPARATE unmix thermos	thermos : g g ; thermos : f ; thermos : a ; flask : v f m ; flask : g c b b ;
urn : y ; flask : p d ; urn : o v o m m ; SEPARATE empty first urn	urn : _ ; flask : p d ; urn : o v o m m ;
cup : v e o o ; cup : f b b f ; SEPARATE unmix last cup	cup : v e o o ; cup : f f ; cup : b b ;
canister : o g g o f ; burette : v d h v ; SEPARATE destroy burette	canister : o g g o f ;
vessel : f f ; jug : o o ; burette : d d ; mug : v r r v ; SEPARATE shift vessel after jug	jug : o o ; vessel : f f ; burette : d d ; mug : v r r v ;
flagon : e c ; flagon : c p p c h ; burette : p p o ; SEPARATE double last flagon	flagon : e c ; flagon : c p p c h c p p c h ; burette : p p o ;
flagon : g h h p ; thermos : o o h ; urn : p f b f p ; SEPARATE double flagon	flagon : g h h p g h h p ; thermos : o o h ; urn : p f b f p ;
urn : o ; flask : y y ; SEPARATE create mug	urn : o ; flask : y y ; mug : _ ;
cup : p f p ; mug : p m e ; SEPARATE unmix cup	cup : p p ; cup : f ; mug : p m e ;
beaker : o ; glass : b b ; bottle : y y ; SEPARATE create decanter	beaker : o ; glass : b b ; bottle : y y ; decanter : _ ;
jar : y a y v ; pitcher : c c ; jar : o a a ; SEPARATE filter pitcher	jar : y a y v ; pitcher : c c ; jar : o a a ;
urn : r y g g ; vessel : e m v e v ; flask : v v ; mug : f m m ; SEPARATE double mug	urn : r y g g ; vessel : e m v e v ; flask : v v ; mug : f m m f m m ;
vessel : o y d d y ; canister : d b d a b a ; glass : b e f ; jar : v ; SEPARATE create burette	vessel : o y d d y ; canister : d b d a b a ; glass : b e f ; jar : v ; burette : _ ;
flask : y y ; thermos : r m m v ; vessel : p p ; cup : o m m o a ; SEPARATE filter vessel	flask : y y ; thermos : r m m v ; vessel : p p ; cup : o m m o a ;
burette : c b b c ; thermos : p ; jug : b h r h ; SEPARATE add six violet to jug	burette : c b b c ; thermos : p ; jug : b h r h v v v v v v ;
jar : m m ; vessel : o h o ; burette : c e y c e ; thermos : y b c c b ; SEPARATE empty burette	jar : m m ; vessel : o h o ; burette : _ ; thermos : y b c c b ;
burette : e m e m ; decanter : d c c ; bottle : g m r ; SEPARATE destroy decanter	burette : e m e m ; bottle : g m r ;
jug : f ; flagon : r ; SEPARATE create flask	jug : f ; flagon : r ; flask : _ ;
burette : r y y ; urn : c c ; mug : o e e o p ; jug : c m c m ; SEPARATE add one orange to burette	burette : r y y o ; urn : c c ; mug : o e e o p ; jug : c m c m ;
cup : e e f f ; beaker : g ; flagon : g r y r ; SEPARATE add one emberiae to cup	cup : e e f f e ; beaker : g ; flagon : g r y r ;
flagon : a a v f ; jar : v h v h p ; canister : y ; SEPARATE add one cabernet to jar	flagon : a a v f ; jar : v h v h p c ; canister : y ;
beaker : f f ; urn : e h e ; mug : e g ; cup : r y y o o ; SEPARATE empty cup	beaker : f f ; urn : e h e ; mug : e g ; cup : _ ;
burette : b f ; urn : f f ; pitcher : a c ; SEPARATE double pitcher	burette : b f ; urn : f f ; pitcher : a c a c ;
beaker : y y ; vessel : d v v p d ; SEPARATE unmix beaker	beaker : y y ; vessel : d v v p d ;
glass : a a ; cup : m c m f f ; pitcher : d h d ; canister : h e y y e ; SEPARATE add four fuchsia to pitcher	glass : a a ; cup : m c m f f ; pitcher : d h d f f f f ; canister : h e y y e ;
decanter : r h r ; canister : g p p c c ; SEPARATE double decanter	decanter : r h r r h r ; canister : g p p c c ;
vessel : p a h ; vessel : h r g ; SEPARATE double first vessel	vessel : p a h p a h ; vessel : h r g ;
decanter : g r r p g ; flask : e r ; SEPARATE create beaker	decanter : g r r p g ; flask : e r ; beaker : _ ;
mug : v p f f p ; beaker : c c ; thermos : c e f e c f ; jug : m b ; SEPARATE filter jug	mug : v p f f p ; beaker : c c ; thermos : c e f e c f ; jug : m b ;
