Input	Output
glass : o g g ; glass : o p m o ; glass : g h o g ; thermos : r r ; SEPARATE create canister	glass : o g g ; glass : o p m o ; glass : g h o g ; thermos : r r ; canister : _ ;
cup : o g g o ; flask : f ; pitcher : c e f e ; cup : a m ; SEPARATE destroy pitcher	cup : o g g o ; flask : f ; cup : a m ;
flagon : m b g m ; flagon : e e p m ; SEPARATE shift first flagon after last flagon	flagon : e e p m ; flagon : m b g m ;
urn : p g ; jar : f v v ; SEPARATE filter urn	urn : p g ; jar : f v v ;
glass : g a m m a ; flagon : h h o ; SEPARATE add one orange to glass	glass : g a m m a o ; flagon : h h o ;
flagon : a a ; beaker : m ; decanter : f v f ; SEPARATE empty flagon	flagon : _ ; beaker : m ; decanter : f v f ;
mug : r o h o h ; flask : b ; vessel : y ; glass : f f p ; SEPARATE empty vessel	mug : r o h o h ; flask : b ; vessel : _ ; glass : f f p ;
thermos : g b d b ; burette : h h ; thermos : m m ; SEPARATE shift last thermos after burette	thermos : g b d b ; burette : h h ; thermos : m m ;
jar : f e e f ; burette : y ; thermos : d p d ; SEPARATE create flask	jar : f e e f ; burette : y ; thermos : d p d ; flask : _ ;
thermos : h y d y h d ; jug : g p ; cup : g ; jug : e e a ; SEPARATE add three aqua to second jug	thermos : h y d y h d ; jug : g p ; cup : g ; jug : e e a a a a ;
flask : c y y ; cup : r e r e ; bottle : g g m ; SEPARATE create bottle	flask : c y y ; cup : r e r e ; bottle : g g m ; bottle : _ ;
decanter : g h h b g ; bottle : b ; SEPARATE create bottle	decanter : g h h b g ; bottle : b ; bottle : _ ;
thermos : p b p ; flask : v e v e ; SEPARATE add four blue to flask	thermos : p b p ; flask : v e v e b b b b ;
jar : g g d ; burette : f f v e ; flask : a p a ; flagon : g g ; SEPARATE create flask	jar : g g d ; burette : f f v e ; flask : a p a ; flagon : g g ; flask : _ ;
jug : o ; thermos : d h h v v ; jug : b v ; glass : h ; SEPARATE empty glass	jug : o ; thermos : d h h v v ; jug : b v ; glass : _ ;
beaker : h h e ; thermos : c b c b ; urn : f r b b ; jar : e d d h h e ; SEPARATE shift jar after urn	beaker : h h e ; thermos : c b c b ; urn : f r b b ; jar : e d d h h e ;
flask : r r ; urn : o c c y ; SEPARATE add one daffodil to flask	flask : r r d ; urn : o c c y ;
thermos : y p v ; thermos : b c c m m ; glass : b b a ; pitcher : v r r m ; SEPARATE shift pitcher before second thermos	thermos : y p v ; pitcher : v r r m ; thermos : b c c m m ; glass : b b a ;
mug : p p m f m f ; bottle : m d m d e ; SEPARATE empty bottle	mug : p p m f m f ; bottle : _ ;
urn : f g r ; beaker : m p a p m ; thermos : c c a a ; SEPARATE double thermos	urn : f g r ; beaker : m p a p m ; thermos : c c a a c c a a ;
cup : m a m ; thermos : g g ; thermos : f r v f v ; SEPARATE destroy cup	thermos : g g ; thermos : f r v f v ;
jug : p b b ; beaker : e e ; pitcher : v ; pitcher : c a c ; SEPARATE destroy beaker	jug : p b b ; pitcher : v ; pitcher : c a c ;
cup : e m r r m ; mug : a r r y ; SEPARATE double mug	cup : e m r r m ; mug : a r r y a r r y ;
urn : p g p g b ; beaker : c m b b m ; urn : y c ; SEPARATE empty last urn	urn : p g p g b ; beaker : c m b b m ; urn : _ ;
flagon : d f g d g ; flagon : d d e ; urn : r r y y ; SEPARATE double urn	flagon : d f g d g ; flagon : d d e ; urn : r r y y r r y y ;
bottle : r r ; urn : y v v r ; SEPARATE double urn	bottle : r r ; urn : y v v r y v v r ;
jug : p r p h ; jar : d d ; jug : r v v r ; SEPARATE shift first jug before jar	jug : p r p h ; jar : d d ; jug : r v v r ;
glass : b c b ; burette : a ; jar : y y ; urn : f d d b ; SEPARATE add three red to urn	glass : b c b ; burette : a ; jar : y y ; urn : f d d b r r r ;
cup : y y v ; burette : y m m v v y ; flagon : f v v ; SEPARATE destroy cup	burette : y m m v v y ; flagon : f v v ;
urn : y e ; mug : h ; SEPARATE empty mug	urn : y e ; mug : _ ;
bottle : y y ; jar : y ; decanter : h h c g ; SEPARATE double bottle	bottle : y y y y ; jar : y ; decanter : h h c g ;
vessel : o r o r h ; glass : g g m m ; SEPARATE create decanter	vessel : o r o r h ; glass : g g m m ; decanter : _ ;
jug : a a ; flask : e c e ; decanter : c b a a ; beaker : o b ; SEPARATE destroy beaker	jug : a a ; flask : e c e ; decanter : c b a a ;
bottle : y y ; beaker : b b p ; flagon : r h r b b h ; urn : e ; SEPARATE destroy flagon	bottle : y y ; beaker : b b p ; urn : e ;
vessel : v a v r ; glass : d ; vessel : c c ; SEPARATE create flagon	vessel : v a v r ; glass : d ; vessel : c c ; flagon : _ ;
thermos : f f ; mug : m m ; urn : r o c ; SEPARATE create jar	thermos : f f ; mug : m m ; urn : r o c ; jar : _ ;
thermos : b m m ; thermos : r ; jug : f v v ; jug : v v c p ; SEPARATE create burette	thermos : b m m ; thermos : r ; jug : f v v ; jug : v v c p ; burette : _ ;
jar : o ; flask : g c g b ; pitcher : o b r b ; bottle : a a d ; SEPARATE add six aqua to pitcher	jar : o ; flask : g c g b ; pitcher : o b r b a a a a a a ; bottle : a a d ;
urn : e ; bottle : g e h h g ; SEPARATE add one yellow to urn	urn : e y ; bottle : g e h h g ;
pitcher : p v b v b p ; burette : a o m m a ; SEPARATE double pitcher	pitcher : p v b v b p p v b v b p ; burette : a o m m a ;
mug : b b d ; urn : y y ; SEPARATE create pitcher	mug : b b d ; urn : y y ; pitcher : _ ;
canister : c b y ; jug : a ; SEPARATE destroy jug	canister : c b y ;
decanter : b y y b ; flask : p p ; thermos : e c c ; canister : b c c r ; SEPARATE empty decanter	decanter : _ ; flask : p p ; thermos : e c c ; canister : b c c r ;
jar : c v g g v ; jar : v v f ; vessel : a f a f ; SEPARATE double vessel	jar : c v g g v ; jar : v v f ; vessel : a f a f a f a f ;
pitcher : b r b y r ; bottle : f f a ; pitcher : m m ; pitcher : v v y ; SEPARATE create jar	pitcher : b r b y r ; bottle : f f a ; pitcher : m m ; pitcher : v v y ; jar : _ ;
