Input	Output
glass : o ; burette : m p m p ; flagon : h h ; burette : a g p a g p ; SEPARATE unmix last burette	glass : o ; burette : m p m p ; flagon : h h ; burette : a a ; burette : g g ; burette : p p ;
canister : f f ; jug : f ; jug : v ; jar : h ; SEPARATE unmix first jug	canister : f f ; jug : f ; jug : v ; jar : h ;
urn : v v ; jar : g g ; SEPARATE unmix jar	urn : v v ; jar : g g ;
flask : m m e ; jar : v v e b e ; vessel : d f d f o ; burette : m c ; SEPARATE unmix burette	flask : m m e ; jar : v v e b e ; vessel : d f d f o ; burette : m ; burette : c ;
pitcher : m b v m ; urn : a m o m o ; flagon : o m o ; SEPARATE unmix urn	pitcher : m b v m ; urn : a ; urn : m m ; urn : o o ; flagon : o m o ;
beaker : a e e c c a ; thermos : o ; pitcher : d p d p ; SEPARATE unmix thermos	beaker : a e e c c a ; thermos : o ; pitcher : d p d p ;
thermos : c c ; cup : d a d a ; SEPARATE unmix thermos	thermos : c c ; cup : d a d a ;
mug : e b ; canister : o b a b o a ; SEPARATE unmix canister	mug : e b ; canister : o o ; canister : b b ; canister : a a ;
decanter : d ; burette : g ; jar : g g h y ; SEPARATE unmix burette	decanter : d ; burette : g ; jar : g g h y ;
decanter : o r a o ; decanter : b b ; urn : h o v h ; SEPARATE unmix first decanter	decanter : o o ; decanter : r ; decanter : a ; decanter : b b ; urn : h o v h ;
canister : b f o f b ; decanter : m d p d m ; vessel : r c c ; thermos : v b ; SEPARATE unmix thermos	canister : b f o f b ; decanter : m d p d m ; vessel : r c c ; thermos : v ; thermos : b ;
urn : b p o ; jug : f m ; burette : y g g r ; SEPARATE unmix jug	urn : b p o ; jug : f ; jug : m ; burette : y g g r ;
urn : c ; flask : m c m c ; SEPARATE unmix urn	urn : c ; flask : m c m c ;
mug : p e p y ; pitcher : g g ; pitcher : y p y ; SEPARATE unmix first pitcher	mug : p e p y ; pitcher : g g ; pitcher : y p y ;
jug : g h ; jug : g r a ; mug : d f d ; SEPARATE unmix first jug	jug : g ; jug : h ; jug : g r a ; mug : d f d ;
canister : a e e a ; flagon : o r r o ; cup : h p ; bottle : b e b ; SEPARATE unmix flagon	canister : a e e a ; flagon : o o ; flagon : r r ; cup : h p ; bottle : b e b ;
flagon : g v g ; decanter : f c f c ; SEPARATE unmix flagon	flagon : g g ; flagon : v ; decanter : f c f c ;
jar : f ; beaker : b r o ; beaker : d y d y f ; pitcher : h f g f ; SEPARATE unmix last beaker	jar : f ; beaker : b r o ; beaker : d d ; beaker : y y ; beaker : f ; pitcher : h f g f ;
canister : m a m ; urn : f h h ; flask : d ; SEPARATE unmix urn	canister : m a m ; urn : f ; urn : h h ; flask : d ;
thermos : f ; flagon : r ; bottle : o p v o ; mug : h d b d ; SEPARATE unmix thermos	thermos : f ; flagon : r ; bottle : o p v o ; mug : h d b d ;
jug : r b b ; burette : g e y ; mug : e o e ; SEPARATE unmix jug	jug : r ; jug : b b ; burette : g e y ; mug : e o e ;
vessel : m ; flask : f f ; bottle : p p ; SEPARATE unmix bottle	vessel : m ; flask : f f ; bottle : p p ;
glass : d d ; flagon : a d d h ; SEPARATE unmix glass	glass : d d ; flagon : a d d h ;
