Input	Output
cup : c ; vessel : y y ; thermos : e ; SEPARATE add four cabernet to cup	cup : c c c c c ; vessel : y y ; thermos : e ;
mug : o h h ; flagon : e m g e ; flagon : g v ; SEPARATE add three aqua to first flagon	mug : o h h ; flagon : e m g e a a a ; flagon : g v ;
jar : r r ; decanter : f ; vessel : v y ; glass : c c ; SEPARATE add one aqua to jar	jar : r r a ; decanter : f ; vessel : v y ; glass : c c ;
flask : v ; pitcher : h h ; SEPARATE add six orange to pitcher	flask : v ; pitcher : h h o o o o o o ;
burette : h ; jug : e e ; SEPARATE add six red to burette	burette : h r r r r r r ; jug : e e ;
urn : o o ; jug : m d m o ; SEPARATE add six emberiae to jug	urn : o o ; jug : m d m o e e e e e e ;
vessel : m c b b c ; jug : m m ; pitcher : e a r r a ; SEPARATE add five emberiae to jug	vessel : m c b b c ; jug : m m e e e e e ; pitcher : e a r r a ;
pitcher : y m d m ; vessel : p d d p ; thermos : a ; SEPARATE add five aqua to vessel	pitcher : y m d m ; vessel : p d d p a a a a a ; thermos : a ;
canister : r d ; jug : h ; urn : b b m m ; SEPARATE add four orange to canister	canister : r d o o o o ; jug : h ; urn : b b m m ;
beaker : g o h o ; jug : e ; burette : e f d e f d ; SEPARATE add four violet to beaker	beaker : g o h o v v v v ; jug : e ; burette : e f d e f d ;
canister : c ; pitcher : b b d ; beaker : m m ; SEPARATE add four cabernet to beaker	canister : c ; pitcher : b b d ; beaker : m m c c c c ;
cup : o d g g o ; decanter : y r c r y ; SEPARATE add two green to cup	cup : o d g g o g g ; decanter : y r c r y ;
urn : r y r ; canister : h a h a ; SEPARATE add six purple to urn	urn : r y r p p p p p p ; canister : h a h a ;
glass : y f y ; canister : c d e e d ; SEPARATE add one red to canister	glass : y f y ; canister : c d e e d r ;
decanter : g r r ; bottle : a a ; mug : h h d ; SEPARATE add six cabernet to mug	decanter : g r r ; bottle : a a ; mug : h h d c c c c c c ;
thermos : y y e e ; pitcher : p p h h ; SEPARATE add two magenta to pitcher	thermos : y y e e ; pitcher : p p h h m m ;
burette : d ; glass : d y d ; SEPARATE add six red to glass	burette : d ; glass : d y d r r r r r r ;
thermos : a f v a f ; flagon : g g ; SEPARATE add three harlequin to flagon	thermos : a f v a f ; flagon : g g h h h ;
